游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
Shelter 2,¥ 92.00,87%,"3,340",4.7h,"冒险, 氛围, 生存, 独立, 情感, 可爱, 自然, 模拟, 探索, 单人, 女性主角, 剧情, 横向滚屏, 黑暗, 反乌托邦, 潜行, 剧情丰富, 步行模拟, 彩色, 选择取向",动作类; 冒险类; 模拟类
Westerado: Double Barreled,¥ 48.00,92%,"1,397",3.4h,"西部, 像素图形, 开放世界, 独立, 冒险, 动作, 推理, 本地合作, 2D, 复古, 好评原声音轨, 单人, 射击, 欢乐, 角色扮演, 氛围, 重玩价值, 选择取向, 本地多人, 合作",动作类; 射击类; 冒险类; 角色扮演类
Patriot: DemocratiZation,¥ 22.00,82%,88,3.1h,"动作, 冒险, 单人, 射击, 第一人称射击, 第一人称, 架空历史, 战争, 军事, 未来, 资本主义, 剧情丰富, 3D",动作类; 射击类; 冒险类
Costume Quest 2,¥ 58.00,88%,764,7.8h,"角色扮演, 冒险, 休闲, 喜剧, 回合制战斗, 欢乐, 单人, 阖家, 可爱, 回合制, 奇幻, 独立, 动作, 多人, 女性主角",动作类; 冒险类; 角色扮演类; 休闲类
Victorian Admirals,¥ 42.00,21%,38,8.6h,"模拟, 海军, 策略",模拟类; 策略类
Graviteam Tactics: Operation Star,¥ 88.00,82%,403,11.5h,"策略, 二战, 战争游戏, 坦克, 模拟, 即时战略, 战术, 拟真, 历史, 军事, 单人, 战争, 氛围, 困难, 即时战术, 重玩价值",射击类; 模拟类; 策略类
Anmynor Puzzles,¥ 36.00,9 篇用户评测,9,3.5h,"休闲, 解谜",解谜类; 休闲类
Sentinel 3: Homeworld,¥ 26.00,81%,140,13.3h,"塔防, 策略, 独立, 科幻, 动作",动作类; 策略类
Chip,¥ 3.52,78%,192,5.5h,"独立, 解谜, 策略, 动作, 机器人, 休闲, 等角视角",动作类; 策略类; 解谜类; 休闲类
墨西哥英雄大混战:超级漩涡冠军版 Guacamelee! Super Turbo Championship Edition,¥ 58.00,93%,"2,570",6.0h,"平台游戏, 2D, 类银河战士恶魔城, 清版动作, 动作, 彩色, 卡通风格, 独立, 本地合作, 冒险, 欢乐, 困难, 动作冒险, 合作, 单人, 4 人本地, 摔角, 2D 平台, 动作角色扮演, 横向滚屏",动作类; 冒险类; 角色扮演类; 体育类
Canyon Capers,¥ 28.00,58%,65,4.8h,"独立, 休闲, 动作, 平台游戏, 复古, 街机, 2D",动作类; 休闲类
Z Steel Soldiers,¥ 52.00,52%,192,5.0h,"策略, 即时战略, 重制, 科幻",策略类
Z,¥ 28.00,78%,"1,166",7.0h,"策略, 经典, 即时战略, 动作, 复古, 机器人, 单人, 老式, 喜剧, 2D, 像素图形, 欢乐, 僵尸, 90 年代",动作类; 策略类
Summoner,¥ 21.00,86%,453,8.5h,"角色扮演, 动作, 奇幻, 单人, 动作角色扮演, 经典, 剧情丰富, 冒险, 开放世界, 复古, 第三人称, 老式, 好评原声音轨, 魔法",动作类; 冒险类; 角色扮演类
Space Run,¥ 3.00,85%,"1,749",6.5h,"塔防, 策略, 太空, 独立, 科幻, 冒险, 单人, 动作, 太空飞船, 即时",动作类; 冒险类; 策略类
7 Wonders of the Ancient World,¥ 28.00,89%,93,37.6h,"休闲, 策略, 解谜, 三消, 单人",策略类; 解谜类; 休闲类
7 Wonders: Magical Mystery Tour,¥ 28.00,100%,50,52.6h,"休闲, 策略, 三消, 解谜",策略类; 解谜类; 休闲类
My Vet Practice - In the Country,¥ 50.00,70%,24,4.2h,"休闲, 模拟, 女性主角, 阖家",模拟类; 休闲类
No Man's Sky 无人深空,¥ 70.00,83%,"303,612",40.6h,"开放世界, 太空, 开放世界生存制作, 探索, 科幻, 生存, 多人, 程序生成, 冒险, 第一人称, 沙盒, 单人, 氛围, 制作, 太空模拟, 独立, 动作, 模拟, 虚拟现实, 第一人称射击",动作类; 射击类; 冒险类; 模拟类
My Best Friends - Cats & Dogs,¥ 50.00,60%,35,2.6h,"模拟, 休闲, 狗, 猫, 阖家, 困难",模拟类; 休闲类
My Riding Stables: Your Horse world,¥ 50.00,60%,48,7.9h,"休闲, 马匹, 模拟, 体育, 女性主角, 阖家",模拟类; 体育类; 休闲类
My Riding Stables: Life with Horses,¥ 50.00,87%,234,11.0h,"休闲, 模拟, 马匹, 体育, 阖家, 女性主角, 血腥, 心理恐怖",模拟类; 体育类; 休闲类
My Pet Hotel,¥ 50.00,37%,16,3.2h,"休闲, 模拟, 阖家",模拟类; 休闲类
My Pet Hotel 2,¥ 50.00,58%,12,3.9h,"休闲, 模拟, 阖家",模拟类; 休闲类
Riding Star - Horse Championship!,¥ 36.00,67%,102,14.0h,"休闲, 模拟, 体育, 马匹, 阖家",模拟类; 体育类; 休闲类
Kingdom Tales: Dragons & Us,¥ 42.00,60%,28,4.7h,"策略, 休闲, 时间管理, 资源管理, 独立, 阖家, 管理, 建造, 奇幻, 单人, 即时战略, 城市营造, 卡通, 可爱, 2D, 彩色, 龙, 模拟, 线性, 角色扮演",角色扮演类; 模拟类; 策略类; 休闲类
Tango Fiesta,¥ 36.00,68%,19,3.5h,"竞技, 第三人称射击, 合作, 射击, 多人, 生存, 第三人称, 喜剧, 欢乐, 俯视射击, 困难, 类 Rogue, 俯视, 2D, 动作, 80 年代, 本地合作, 单人, 4 人本地, 本地多人",动作类; 射击类
Curse of Dragon Mountains 2: The Lair,¥ 14.70,57%,14,6.0h,"隐藏物体, 解谜, 指向点击, 女性主角, 2D, 第一人称, 推理, 彩色, 黑暗奇幻, 奇幻, 逻辑, 魔法, 冒险, 神话, 悬疑, 休闲, 氛围, 调查, 单人, 续作",冒险类; 解谜类; 休闲类
Fritz Chess 14,¥ 136.00,70%,110,46.9h,"棋类, 策略, 桌上游戏, 棋盘游戏",策略类
Mordheim: City of the Damned,¥ 78.00,72%,"6,958",21.4h,"战术, 游戏工坊, 角色扮演, 回合制, 策略, 黑暗奇幻, 回合制战术, 回合制战斗, 多人, 回合战略, 奇幻, 永久死亡, 单人, 中世纪, 程序生成, 棋盘游戏, 独立, 控制器, 战术角色扮演, 战锤 40K",射击类; 角色扮演类; 策略类
Dwelvers,¥ 58.00,64%,235,4.9h,"基地建设, 恶人主角, 地下, 管理, 沙盒, 黑暗, 奇幻, 魔法, 俯视, 建造, 贸易, 资源管理, 策略, 3D, 体素, 风格化, 上帝模拟, 单人, 模拟, 探索",冒险类; 模拟类; 策略类
FATE: Undiscovered Realms,¥ 32.00,86%,344,5.4h,"角色扮演, 冒险, 动作, 迷宫探索, 动作角色扮演, 砍杀, 刷宝, 等角视角, 类 Rogue",动作类; 冒险类; 角色扮演类
Return to Mysterious Island 2,¥ 31.00,64%,171,25.0h,"冒险, 指向点击, 休闲, 女性主角, 解谜, 第一人称, 单人, 密室逃脱",冒险类; 解谜类; 休闲类
Return to Mysterious Island,¥ 31.00,82%,384,9.6h,"冒险, 休闲, 指向点击, 解谜, 女性主角, 第一人称, 探索, 单人, 密室逃脱",冒险类; 解谜类; 休闲类
VIDEOBALL,¥ 36.00,90%,160,4.0h,"体育, 独立, 动作, 本地多人, 4 人本地, 街机, 多人",动作类; 体育类
Halo: Spartan Assault,¥ 19.00,78%,"4,292",5.7h,"动作, 俯视射击, 科幻, 单人, 俯视, 射击, 双摇杆射击, 策略, 触控, 街机, 冒险, 好评原声音轨, 未来, 外星人, 太空, 多人, 等角视角, 第三人称, 第三人称射击, 合作",动作类; 射击类; 冒险类; 策略类
Imperial Glory,¥ 28.00,77%,"1,151",9.4h,"策略, 即时战略, 历史, 回合战略, 多人, 战争, 单人, 经典",策略类
The Book of Legends,¥ 4.40,60%,139,4.8h,"角色扮演, RPG 制作大师, 独立, 冒险, 动漫, 日系角色扮演, 单人, 回合制, 探索, 重玩价值, 女性主角, 奇幻, 剧情丰富, 2D, 欢乐, 裸露, 像素图形, 策略, 休闲, 好评原声音轨",冒险类; 角色扮演类; 策略类; 休闲类
Praetorians,¥ 28.00,81%,580,7.7h,"策略, 罗马, 即时战略, 经典, 独立, 历史, 战争, 多人, 单人",策略类
Farming World,¥ 21.00,42%,185,5.3h,"农场模拟, 模拟, 农业, 休闲, 独立, 管理, 农场管理",模拟类; 休闲类
Battle Group 2,¥ 31.00,84%,254,11.4h,"海军, 海战, 动作, 独立, 策略, 街机, 女性主角, 休闲, 俯视",动作类; 策略类; 休闲类
Shiny The Firefly,¥ 4.20,76%,51,3.1h,"独立, 动作, 冒险, 休闲, 平台游戏",动作类; 冒险类; 休闲类
Albedo: Eyes from Outer Space,¥ 48.00,47%,73,3.8h,"冒险, 动作, 独立, 科幻, 解谜, 黑色幽默, 第一人称射击, 第一人称, 单人",动作类; 射击类; 冒险类; 解谜类
Untold Mystery: Angel’s Cry,¥ 6.30,54%,64,4.3h,"冒险, 指向点击, 隐藏物体, 解谜, 中世纪, 休闲, 悬疑, 单人, 探索, 2D, 彩色, 拟真, 推理, 恐怖, 魔法, 惊悚, 氛围, 阴谋, 犯罪, 奇幻",冒险类; 解谜类; 休闲类
Curse of Dragon Mountains: The Strix,¥ 4.20,44%,36,6.9h,"隐藏物体, 解谜, 指向点击, 女性主角, 2D, 第一人称, 推理, 龙, 彩色, 阖家, 冒险, 奇幻, 休闲, 逻辑, 神话, 科幻, 悬疑, 调查, 密室逃脱, 独立",冒险类; 解谜类; 休闲类
Assassin's Creed Freedom Cry,¥ 75.00,77%,"2,753",15.2h,"动作, 冒险, 暗杀, 开放世界, 海盗, 潜行, 单人, 跑酷, 第三人称, 历史, 剧情丰富, 氛围, 角色扮演, 多人, 海军, 航海, 剑术, 血腥, 科幻, 好评原声音轨",动作类; 冒险类; 角色扮演类
Panzer Tactics HD,¥ 36.00,74%,181,14.2h,"策略, 模拟, 二战, 回合战略, 六角格棋盘, 战争游戏, 回合制, 战争",模拟类; 策略类
Kult: Heretic Kingdoms,¥ 22.00,75%,153,3.9h,"角色扮演, 动作, 冒险, 独立, 等角视角, 女性主角, 经典, 动作角色扮演, 奇幻, 单人",动作类; 冒险类; 角色扮演类
On Rusty Trails,¥ 58.00,87%,176,4.0h,"精确平台, 独立, 竞分, 卡通风格, 动作, 困难, 快节奏, 2D 平台, 黑色, 平台解谜, 2.5D, 平台游戏, 剧情丰富, 氛围, 单人, 漫画, 记叙, 科幻, 物理, 控制器",动作类
The Count of Monster Disco,¥ 36.00,94%,17,,"模拟, 火车, 单人, 阖家, 驾驶, 休闲, 沙盒, 开放世界, 氛围, TrackIR, 关卡编辑, 放松, 可模组化, 建造, 恐怖, 拟真, 城市营造, 体育",冒险类; 模拟类; 体育类; 休闲类
Sportsfriends,免费开玩,80%,88,4.2h,"体育, 独立, 免费开玩, 本地多人, 4 人本地, 社交聚会",体育类
"About Love, Hate and the other ones",¥ 33.00,91%,623,5.2h,"推箱子, 休闲, 解谜, 放松, 可爱, 独立, 阖家, 单人, 2D, 平台解谜, 手绘, 欢乐, 仅鼠标, 彩色, 氛围, 喜剧, 逻辑, 网格导向动作, 平台游戏, 指向点击",动作类; 解谜类; 休闲类
Shantae: Risky's Revenge - Director's Cut,¥ 36.00,87%,"1,185",6.2h,"平台游戏, 女性主角, 类银河战士恶魔城, 像素图形, 动作, 好评原声音轨, 2D, 独立, 单人, 冒险, 可爱, 动漫, 欢乐, 复古, 横向滚屏, 奇幻, 彩色, 喜剧, 海盗, 2D 平台",动作类; 冒险类
Diehard Dungeon,¥ 11.00,73%,423,4.0h,"动作类 Rogue, 独立, 动作, 类 Rogue, 角色扮演, 冒险, 血腥, 暴力, 轻度 Rogue, 复古, 像素图形, 迷宫探索, 困难, 单人, 俯视, 程序生成, 2D",动作类; 冒险类; 角色扮演类
Mars Colony:Challenger,¥ 21.00,64%,114,5.2h,"模拟, 冒险, 独立, 角色扮演, 太空, 火星, 生存, 科幻",冒险类; 角色扮演类; 模拟类
真・三国无双７ with 猛将传,¥ 159.00,83%,"11,752",28.9h,"砍杀, 动作, 无双, 历史, 第三人称, 好评原声音轨, 本地合作, 本地多人, 清版动作, 多人, 单人, 动作角色扮演, 角色扮演, 格斗, 冒险, 合作, 日系角色扮演, 策略, 华丽格斗, 休闲",动作类; 冒险类; 角色扮演类; 策略类; 休闲类
A Story About My Uncle,¥ 58.00,92%,"12,126",8.0h,"冒险, 第一人称, 跑酷, 单人, 独立, 氛围, 平台游戏, 剧情丰富, 3D 平台, 解谜, 奇幻, 休闲, 短篇, 科幻, 放松, 记叙, 动作, 阖家, 困难, 好评原声音轨",动作类; 冒险类; 解谜类; 休闲类
RIVE,¥ 58.00,84%,450,4.3h,"横向滚屏, 双摇杆射击, 动作, 黑客, 2D, 街机, 清版射击, 竞分, 独立, 科幻, 射击, 2D 平台, 困难, 记叙, 弹幕射击, 控制器, 太空, 平台游戏, 对话, 单人",动作类; 射击类; 模拟类
Spider: Rite of the Shrouded Moon,¥ 37.00,90%,75,2.2h,"冒险, 独立, 好评原声音轨, 悬疑, 探索, 氛围, 动作, 休闲, 解谜, 唯美, 平台游戏, 单人",动作类; 冒险类; 解谜类; 休闲类
Skyborn,¥ 58.00,88%,551,4.6h,"角色扮演, RPG 制作大师, 蒸汽朋克, 女性主角, 日系角色扮演, 休闲, 奇幻, 单人, 独立, 冒险, 复古, 动漫, 回合制, 剧情丰富, 好评原声音轨, 2D, 像素图形, 策略",冒险类; 角色扮演类; 策略类; 休闲类
Aveyond 3-2: Gates of Night,¥ 42.00,86%,37,4.0h,"像素图形, 日系角色扮演, 回合制战斗, 团队角色扮演, 探索, 剧情丰富, 回合制, 策略角色扮演, 女性主角, 角色扮演, 2D, 等角视角, 俯视, 故事架构丰富, 复古, 独立, 休闲, 奇幻, 动作, 冒险",动作类; 冒险类; 角色扮演类; 休闲类
0RBITALIS,¥ 36.00,69%,146,3.3h,"模拟, 独立, 解谜, 太空, 物理",模拟类; 解谜类
JUDGEMENT SILVERSWORD - Resurrection -,¥ 22.00,96%,83,2.5h,"动作, 清版射击, 复古, 弹幕射击, 像素图形",动作类
3 Stars of Destiny,¥ 58.00,70%,54,7.6h,"角色扮演, RPG 制作大师, 独立, 冒险, 动漫, 日系角色扮演, 奇幻, 探索, 重玩价值, 单人, 好评原声音轨, 女性主角, 2D, 休闲, 策略, 像素图形, 回合制, 史诗级, 黑色幽默, 欢乐",冒险类; 角色扮演类; 策略类; 休闲类
Labyrinthine Dreams,¥ 22.00,80%,212,4.1h,"独立, 冒险, 休闲, RPG 制作大师, 女性主角, 解谜, 短篇, 单人",冒险类; 解谜类; 休闲类
Heroes of Legionwood,Heroes of Legionwood Demo,77%,31,4.2h,"像素图形, 日系角色扮演, 回合制战斗, 团队角色扮演, 冒险, 角色扮演, 2D, 单人, 独立, 奇幻, 复古, 休闲, RPG 制作大师, 回合制, 可爱, 俯视, LGBTQ+, 控制器, 怀旧, 情感",冒险类; 角色扮演类; 休闲类
TinyKeep,¥ 37.00,66%,256,3.8h,"动作类 Rogue, 动作, 独立, 角色扮演, 冒险, 永久死亡, 迷宫探索, 程序生成, 类 Rogue, 单人",动作类; 冒险类; 角色扮演类
Spaceforce Homeworld,¥ 22.00,4 篇用户评测,4,4.3h,"动作, 街机, 清版射击, 射击",动作类; 射击类
Terrian Saga: KR-17,¥ 22.00,73%,219,4.0h,"动作, 独立, 冒险, 平台游戏, 像素图形, 复古, 2D",动作类; 冒险类
Angvik,¥ 15.00,89%,"2,096",7.2h,"独立, 平台游戏, 动作, 困难, 2D, 单人, 冒险, 动作类 Rogue, 类 Rogue, 永久死亡, 横向滚屏, 短篇",动作类; 冒险类
LA Cops,¥ 23.00,52%,123,3.8h,"动作, 策略, 独立, 冒险, 俯视, 等角视角, 射击, 恶人主角, 复古, 单人, 犯罪, 3D, 风格化, 快节奏, 战术, 战斗, 第三人称射击, 困难, 好评原声音轨, 氛围",动作类; 射击类; 冒险类; 策略类
GIGANTIC ARMY,¥ 26.00,77%,208,2.9h,"奔跑, 动作, 独立, 机甲, 平台游戏, 街机, 横向滚屏, 清版射击, 2D 平台, 2D, 复古, 像素图形, 机器人, 射击, 科幻, 困难, 休闲, 动漫, 80 年代, 控制器",动作类; 射击类; 休闲类
Digger Online,¥ 33.00,65%,"1,272",6.9h,"剧情丰富, 动作, 氛围, 拟真, 射击, 生存, 第一人称, 开放世界, 多人, 阖家, 沙盒, 喜剧, 建造, 合作, 僵尸, 冒险, 模拟, 角色扮演, 独立, 制作",动作类; 射击类; 冒险类; 角色扮演类; 模拟类
9th Dawn II,¥ 26.00,81%,163,8.6h,"角色扮演, 独立, 冒险, 动作, 迷宫探索, 动作角色扮演, 2D, 复古, 开放世界, 动作冒险, 类 Rogue, 像素图形",动作类; 冒险类; 角色扮演类
Making History: The Great War,¥ 108.00,75%,395,18.4h,"策略, 模拟, 一战, 大战略, 独立, 历史, 战争, 回合战略, 可模组化, 沙盒, 军事, 多人, 单人, 重玩价值, 二战, 架空历史, 战术, 回合制, 管理, 4X",射击类; 模拟类; 策略类
Ultionus: A Tale of Petty Revenge,¥ 28.00,70%,177,3.7h,"复古, 女性主角, 动作, 平台游戏, 像素图形, 冒险, 独立, 科幻, 2D, 街机, 清版射击, 单人, 横向滚屏, 射击, 好评原声音轨, 困难",动作类; 射击类; 冒险类
Richard & Alice,¥ 25.00,74%,305,3.8h,"冒险, 独立, 指向点击, 犯罪, 悬疑, 剧情丰富, 黑色, 后末日, 单人, 像素图形, 2D, 女性主角, 复古",冒险类; 解谜类
Gardens Inc. – From Rakes to Riches,¥ 36.00,89%,37,14.3h,"休闲, 时间管理, 策略, 模拟, 农业",模拟类; 策略类; 休闲类
Joe Dever's Lone Wolf HD Remastered,¥ 4.80,75%,588,7.8h,"角色扮演, 冒险, 独立, 剧情丰富, 自选历险体验, 奇幻, 回合制, 单人, 视觉小说, 互动小说, 快速反应事件, 动作",动作类; 冒险类; 角色扮演类
IHF Handball Challenge 14,¥ 50.00,50%,52,14.8h,体育,体育类
Abalone,¥ 28.00,61%,39,8.0h,"策略, 棋盘游戏, 休闲, 桌上游戏, 回合制, 回合战略, 阖家, 欲罢不能, 多人, 卡牌游戏",策略类; 休闲类
Nicolas Eymerich - The Inquisitor - Book 1 : The Plague,¥ 21.00,58%,65,5.5h,"冒险, 指向点击, 历史",冒险类; 解谜类
Devil's Dare 悪魔の挑戦,¥ 42.00,64%,76,3.5h,"动作, 独立, 休闲, 清版动作, 冒险, 街机, 本地合作, 重玩价值, 2D, 4 人本地, 复古, 僵尸",动作类; 冒险类; 休闲类
Pretentious Game,¥ 11.00,79%,121,1.8h,"独立, 休闲, 平台游戏, 解谜, 短篇, 极简主义, 单人",动作类; 解谜类; 休闲类
Dracula 4 and  5 - Special Steam Edition,¥ 31.00,68%,77,23.4h,"冒险, 指向点击, 解谜, 吸血鬼, 第一人称, 女性主角",冒险类; 解谜类
Rage Runner,¥ 21.00,56%,23,5.8h,"竞速, 动作, 独立, 休闲, 模拟, 科幻",动作类; 模拟类; 竞速类; 休闲类
The Troma Project,¥ 33.00,79%,68,5.3h,"独立, 策略, 恐怖, 喜剧, 等角视角",冒险类; 策略类
The I of the Dragon,¥ 33.00,73%,449,6.4h,"角色扮演, 龙, 单人, 模拟, 开放世界, 奇幻",冒险类; 角色扮演类; 模拟类
Grim Legends 2: Song of the Dark Swan,¥ 58.00,95%,824,5.6h,"隐藏物体, 休闲, 冒险, 指向点击, 女性主角, 解谜, 悬疑, 阖家, 奇幻, 单人, 卡通风格, 恐怖, 放松, 剧情丰富, 好评原声音轨, 短篇, 氛围, 2D, 彩色, 独立",冒险类; 解谜类; 休闲类
Soul Axiom,¥ 68.00,76%,134,8.6h,"冒险, 独立, 科幻, 赛博朋克, 解谜, 探索, 悬疑, 氛围, 第一人称, 奇幻, 惊悚",冒险类; 解谜类
The Book of Unwritten Tales 2,¥ 83.00,90%,678,8.7h,"奇幻, 冒险, 指向点击, 单人, 氛围, 魔法, 谐仿, 续作, 中世纪, 仅鼠标, 2.5D, 讽刺, 3D, 阖家, 线性, 龙, 黑暗奇幻, 黑色幽默, 黑暗, 黑色喜剧",冒险类; 解谜类
Infinity Runner,¥ 29.00,70%,89,5.3h,"动作, 独立, 狼人, 奔跑, 恐怖, 跑酷, 科幻, 第一人称, 虚拟现实, 太空, 第一人称射击",动作类; 射击类; 冒险类
Bridge Constructor Playground,¥ 42.00,74%,139,3.4h,"休闲, 模拟, 独立, 角色扮演, 解谜, 物理, 单人, 建造",角色扮演类; 模拟类; 解谜类; 休闲类
Gunjitsu,¥ 18.00,6 篇用户评测,6,5.7h,"动作, 抢先体验, 独立",动作类
A Wizard's Lizard,¥ 36.00,69%,240,4.3h,"动作类 Rogue, 类 Rogue, 角色扮演, 独立, 轻度 Rogue, 动作, 永久死亡, 程序生成, 2D, 冒险, 迷宫探索, 困难, 单人, 奇幻",动作类; 冒险类; 角色扮演类
Millennium - A New Hope,¥ 9.60,72%,173,8.0h,"日系角色扮演, 剧情丰富, 重玩价值, 女性主角, 角色扮演, 探索, 情感, RPG 制作大师, 冒险, 剧集, 2D, 动漫, 奇幻, 单人, 回合制, 像素图形, 策略, 欢乐, 俯视, 沉浸式",冒险类; 角色扮演类; 策略类
Aragami,¥ 76.00,90%,"10,175",6.8h,"潜行, 忍者, 暗杀, 动作, 合作, 独立, 冒险, 多人, 第三人称, 单人, 动漫, 氛围, 好评原声音轨, 在线合作, 魔法, 鲜血, 策略, 暴力, 血腥, 开放世界",动作类; 冒险类; 策略类
Hover,¥ 5.60,81%,"1,529",8.9h,"单人, 动作, 冒险, 跑酷, 独立, 多人, 平台游戏, 原声音轨, 3D 平台, 彩色, 快节奏, 开放世界, 赛博朋克, 好评原声音轨, 第三人称, 第一人称, 合作, 在线合作, 科幻, 风格化",动作类; 冒险类
Creeper World 3: Arc Eternal,¥ 58.00,96%,"4,039",32.4h,"塔防, 策略, 独立, 即时战略, 单人, 科幻, 即时含暂停, 模拟, 基地建设, 关卡编辑, 俯视, 欲罢不能, 资源管理, 2D, 生存, 即时, 像素图形, 沙盒, 好评原声音轨",模拟类; 策略类
